"","image","trialnum","condition","l_block_trial_key_resp.keys","l_block_trial_key_resp.rt","v_block_trial_key_resp.keys","v_block_trial_key_resp.rt","vtarget","Run","PartID","ltarget","expName"
"1","L.png",193,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"2","M.png",194,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"3","E.png",195,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"4","F.png",196,"R","3",0.383697417099,"",NA,3,5,"f002",FALSE,"visual"
"5","E.png",197,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"6","D.png",198,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"7","C.png",199,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"8","L.png",200,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"9","A.png",201,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"10","B.png",202,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"11","B.png",203,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"12","H.png",204,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"13","G.png",205,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"14","K.png",206,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"15","G.png",207,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"16","A.png",208,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"17","M.png",209,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"18","K.png",210,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"19","C.png",211,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"20","J.png",212,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"21","J.png",213,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"22","H.png",214,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"23","D.png",215,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"24","F.png",216,"R","3",0.500399786513,"",NA,3,5,"f002",FALSE,"visual"
"25","F.png",217,"R","3",0.417032580357,"",NA,3,5,"f002",FALSE,"visual"
"26","K.png",218,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"27","C.png",219,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"28","G.png",220,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"29","A.png",221,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"30","M.png",222,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"31","C.png",223,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"32","A.png",224,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"33","J.png",225,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"34","E.png",226,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"35","J.png",227,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"36","H.png",228,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"37","H.png",229,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"38","M.png",230,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"39","D.png",231,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"40","D.png",232,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"41","L.png",233,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"42","B.png",234,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"43","K.png",235,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"44","E.png",236,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"45","F.png",237,"R","3",0.408639483154,"",NA,3,5,"f002",FALSE,"visual"
"46","G.png",238,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"47","B.png",239,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"48","L.png",240,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"49","Alien4.bmp",193,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"50","Alien5.bmp",194,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"51","Alien6.bmp",195,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"52","Alien7.bmp",196,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"53","Alien8.bmp",197,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"54","Alien9.bmp",198,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"55","Alien1.bmp",199,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"56","Alien2.bmp",200,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"57","Alien3.bmp",201,"S","",NA,"3",0.0752448993735,3,5,"f002",FALSE,"visual"
"58","Alien10.bmp",202,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"59","Alien11.bmp",203,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"60","Alien12.bmp",204,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"61","Alien7.bmp",205,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"62","Alien8.bmp",206,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"63","Alien9.bmp",207,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"64","Alien4.bmp",208,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"65","Alien5.bmp",209,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"66","Alien6.bmp",210,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"67","Alien1.bmp",211,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"68","Alien2.bmp",212,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"69","Alien3.bmp",213,"S","",NA,"3",0.00862321304157,3,5,"f002",FALSE,"visual"
"70","Alien10.bmp",214,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"71","Alien11.bmp",215,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"72","Alien12.bmp",216,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"73","Alien4.bmp",217,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"74","Alien5.bmp",218,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"75","Alien6.bmp",219,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"76","Alien10.bmp",220,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"77","Alien11.bmp",221,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"78","Alien12.bmp",222,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"79","Alien7.bmp",223,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"80","Alien8.bmp",224,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"81","Alien9.bmp",225,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"82","Alien1.bmp",226,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"83","Alien2.bmp",227,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"84","Alien3.bmp",228,"S","",NA,"3",0.0586691936478,3,5,"f002",FALSE,"visual"
"85","Alien7.bmp",229,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"86","Alien8.bmp",230,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"87","Alien9.bmp",231,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"88","Alien10.bmp",232,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"89","Alien11.bmp",233,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"90","Alien12.bmp",234,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"91","Alien4.bmp",235,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"92","Alien5.bmp",236,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"93","Alien6.bmp",237,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"94","Alien1.bmp",238,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"95","Alien2.bmp",239,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"96","Alien3.bmp",240,"S","",NA,"3",0.0419842605479,3,5,"f002",FALSE,"visual"
"97","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"98","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"99","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"100","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"101","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"102","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"103","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"104","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"105","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"106","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"107","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"108","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"109","D.png",241,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"110","K.png",242,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"111","K.png",243,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"112","H.png",244,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"113","H.png",245,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"114","J.png",246,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"115","F.png",247,"R","3",0.442120850552,"",NA,3,5,"f002",FALSE,"visual"
"116","M.png",248,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"117","B.png",249,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"118","C.png",250,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"119","C.png",251,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"120","E.png",252,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"121","L.png",253,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"122","G.png",254,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"123","M.png",255,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"124","B.png",256,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"125","E.png",257,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"126","L.png",258,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"127","E.png",259,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"128","H.png",260,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"129","D.png",261,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"130","A.png",262,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"131","G.png",263,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"132","L.png",264,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"133","D.png",265,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"134","A.png",266,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"135","H.png",267,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"136","G.png",268,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"137","G.png",269,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"138","M.png",270,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"139","F.png",271,"R","3",0.483604773413,"",NA,3,5,"f002",FALSE,"visual"
"140","M.png",272,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"141","K.png",273,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"142","K.png",274,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"143","J.png",275,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"144","B.png",276,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"145","B.png",277,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"146","C.png",278,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"147","F.png",279,"R","3",0.550380059984,"",NA,3,5,"f002",FALSE,"visual"
"148","F.png",280,"R","3",0.475382342935,"",NA,3,5,"f002",FALSE,"visual"
"149","J.png",281,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"150","A.png",282,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"151","C.png",283,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"152","A.png",284,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"153","L.png",285,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"154","J.png",286,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"155","D.png",287,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"156","E.png",288,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"157","F.png",289,"R","3",0.440663073678,"",NA,3,5,"f002",FALSE,"visual"
"158","G.png",290,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"159","E.png",291,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"160","D.png",292,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"161","C.png",293,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"162","B.png",294,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"163","H.png",295,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"164","M.png",296,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"165","F.png",297,"R","3",0.517068790272,"",NA,3,5,"f002",FALSE,"visual"
"166","A.png",298,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"167","B.png",299,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"168","J.png",300,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"169","C.png",301,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"170","G.png",302,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"171","J.png",303,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"172","B.png",304,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"173","M.png",305,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"174","A.png",306,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"175","L.png",307,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"176","K.png",308,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"177","K.png",309,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"178","K.png",310,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"179","D.png",311,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"180","M.png",312,"R","None",NA,"",NA,3,5,"f002",FALSE,"visual"
"181","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"182","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"183","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"184","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"185","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"186","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"187","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"188","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"189","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"190","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"191","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"192","blank.png",0,"B","",NA,"",NA,3,5,"f002",FALSE,"visual"
"193","Alien7.bmp",241,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"194","Alien8.bmp",242,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"195","Alien9.bmp",243,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"196","Alien4.bmp",244,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"197","Alien5.bmp",245,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"198","Alien6.bmp",246,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"199","Alien10.bmp",247,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"200","Alien11.bmp",248,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"201","Alien12.bmp",249,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"202","Alien7.bmp",250,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"203","Alien8.bmp",251,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"204","Alien9.bmp",252,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"205","Alien4.bmp",253,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"206","Alien5.bmp",254,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"207","Alien6.bmp",255,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"208","Alien10.bmp",256,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"209","Alien11.bmp",257,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"210","Alien12.bmp",258,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"211","Alien1.bmp",259,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"212","Alien2.bmp",260,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"213","Alien3.bmp",261,"S","",NA,"3",0.183669655118,3,5,"f002",FALSE,"visual"
"214","Alien7.bmp",262,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"215","Alien8.bmp",263,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"216","Alien9.bmp",264,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"217","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"218","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"219","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"220","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"221","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"222","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"223","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"224","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"225","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"226","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"227","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"228","blank.png",0,"B","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"229","Alien1.bmp",265,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"230","Alien2.bmp",266,"S","",NA,"3",0.975452458486,3,5,"f002",FALSE,"visual"
"231","Alien3.bmp",267,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"232","Alien10.bmp",268,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"233","Alien11.bmp",269,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
"234","Alien12.bmp",270,"S","",NA,"None",NA,3,5,"f002",FALSE,"visual"
